Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mgp03010:Ribosome	88	4.941044357102752	1.711019155135052E-51	100547161, 100538846, 100544053, 100542991, 100544011, 100549465, 100539451, 100545822, 100542431, 104912139, 100545028, 100543686, 104914712, 100543844, 100540338, 100538962, 100541826, 100550011, 100551385, 100538619, 100548961, 100546221, 100547675, 100549932, 100549975, 100546185, 100546665, 100545851, 100543794, 100544168, 100543230, 104916366, 100544721, 100543358, 100540520, 100540046, 100548207, 100550724, 100550844, 100540447, 100550521, 100542629, 100539786, 100538499, 100539541, 104914293, 692134, 100549126, 100544590, 100545680, 100547984, 100543980, 100544398, 100542056, 100542176, 100543583, 100545166, 100543589, 100543586, 104914854, 100549328, 100549405, 100550833, 100543987, 100542419, 100550355, 100538422, 100539872, 100547908, 100550381, 100547212, 100545154, 100547099, 100546444, 100543176, 100542443, 100544743, 104912789, 100538671, 100543575, 100540189, 100544269, 104913677, 100540304, 100551437, 100550422, 100539763, 100538598	715	120	5401	5.53948717948718	2.8060714144214854E-49	2.8060714144214854E-49	2.5494185411512276E-49
KEGG_PATHWAY	mgp00190:Oxidative phosphorylation	50	2.807411566535654	3.3024463530418004E-15	100548571, 100548098, 104915203, 723981, 100543163, 104913465, 100549107, 100541182, 100542032, 100545663, 100549664, 723983, 100545745, 100546479, 100547569, 100543648, 100538920, 100548041, 100538539, 100546780, 100546340, 100540281, 100549893, 100547319, 100547679, 100545737, 100544649, 104913416, 100548528, 100538694, 100549240, 100546254, 100549248, 100542491, 109363710, 104917002, 100551209, 100544912, 100550118, 100548835, 100538546, 100538864, 100551441, 100542245, 104909347, 104915859, 100543850, 100541358, 100548306, 100550823	715	115	5401	3.28428093645485	5.46229728115577E-13	2.7080060094942766E-13	2.460322533016141E-13
KEGG_PATHWAY	mgp01200:Carbon metabolism	39	2.18978102189781	1.9685607377972775E-10	100549320, 100546058, 100545441, 100548630, 100550807, 100550609, 100546537, 100544516, 100548835, 100541568, 100541626, 100539955, 100544817, 100541406, 109365384, 100540715, 100538886, 100538565, 100546184, 104916864, 100544087, 100546340, 100549777, 104911398, 100303685, 104909347, 100543850, 100542964, 100546629, 100542845, 100542009, 100544708, 100545718, 100540825, 100544529, 100550762, 100538831, 100550980, 100538992	715	99	5401	2.9757575757575756	3.228439771074676E-8	1.0761465366625116E-8	9.777184997726477E-9
KEGG_PATHWAY	mgp00970:Aminoacyl-tRNA biosynthesis	22	1.235261089275688	2.6856750132798136E-8	100545071, 100548292, 100548389, 104915862, 100548881, 100545102, 100545255, 100547453, 100544765, 100540187, 100539297, 100546404, 100540484, 100540696, 104914827, 100541003, 100544615, 100547503, 100541977, 109370376, 100550312, 100551015	715	44	5401	3.7769230769230773	4.404497385035455E-6	1.1011267554447235E-6	1.0004139424467306E-6
KEGG_PATHWAY	mgp01230:Biosynthesis of amino acids	24	1.347557551937114	8.216229610355851E-7	104916864, 100549777, 100549200, 100545444, 104911398, 100549320, 100546058, 100303685, 100548630, 100550807, 100545441, 100547528, 100542277, 100543047, 100546629, 100542009, 100541568, 100551038, 100540825, 100544529, 100540715, 100550762, 100550980, 100538992	715	60	5401	3.0215384615384617	1.3473714309508722E-4	2.502772233501546E-5	2.2738601389739655E-5
KEGG_PATHWAY	mgp00020:Citrate cycle (TCA cycle)	15	0.8422234699606962	9.156483781103217E-7	100546184, 100546340, 100550609, 104909347, 100543850, 100544516, 100546629, 100542845, 100548835, 100539955, 100544817, 100538831, 100550980, 100538565, 100538992	715	26	5401	4.3579881656804735	1.5015512835148126E-4	2.502772233501546E-5	2.2738601389739655E-5
KEGG_PATHWAY	mgp03030:DNA replication	15	0.8422234699606962	8.251659286068592E-6	100551274, 100538715, 100551390, 100546593, 100544596, 100547780, 100542463, 100543187, 100549999, 100545948, 100538952, 100550883, 100550112, 100544808, 100551330	715	30	5401	3.7769230769230773	0.0013523624389605304	1.933245889878927E-4	1.7564246194631716E-4
KEGG_PATHWAY	mgp03040:Spliceosome	33	1.8528916339135317	5.295736643442577E-5	100546573, 104915105, 100548671, 100542430, 104916355, 100546559, 100543644, 100550319, 100541520, 100549306, 100540335, 100546935, 100550932, 100541327, 100538921, 100539377, 100551194, 100548462, 100547175, 100545751, 100546222, 100544320, 100544502, 100547816, 100550825, 100544208, 100545616, 100541698, 100539504, 100544905, 100539986, 100550366, 104915819	715	120	5401	2.0773076923076923	0.008647630346867108	0.0010856260119057283	9.8633094984118E-4
KEGG_PATHWAY	mgp01100:Metabolic pathways	225	12.633352049410442	1.7671890047695496E-4	104912494, 104913465, 100543163, 100547885, 100550807, 100547528, 100549949, 100543047, 100542994, 100544817, 100540459, 100538920, 100551225, 100539695, 100546780, 104911398, 100550927, 100547759, 100548727, 100551336, 100549240, 100549242, 100549248, 100548038, 100546891, 100548953, 100547622, 100545444, 109363710, 100545441, 100546537, 104912834, 100544912, 100551209, 100550118, 100548835, 100544911, 100541406, 100551441, 100549110, 100548389, 104916864, 100542162, 100540780, 104917156, 100538350, 100545555, 100542964, 100542721, 100542966, 100542845, 100546649, 104915203, 100549107, 100541182, 100542395, 100542032, 100545663, 104910670, 100542036, 100542277, 100538440, 100546755, 100541620, 100546759, 100541626, 100541989, 100538565, 100546184, 100539549, 100549698, 100544560, 100543474, 100545411, 100539540, 100540880, 100546629, 100545537, 100538457, 100538455, 100538694, 100545081, 100547268, 100542491, 100549200, 100543464, 100543343, 100549320, 100544671, 100546058, 100542376, 100545766, 100541600, 100548119, 100540755, 100538546, 100550793, 100549792, 100547132, 104909347, 100542245, 100540187, 100542487, 100542246, 100546968, 100542009, 100546605, 100538676, 104909223, 100548571, 100547241, 104915364, 100544770, 100549664, 100541384, 100545745, 100547927, 100547921, 100538886, 100538642, 100538539, 100544087, 100540281, 100549777, 100549893, 100540043, 100543434, 100545737, 100544529, 100550762, 100540849, 100539860, 100551164, 100547460, 100548670, 100546491, 100538988, 100546254, 100546495, 100544992, 100543787, 100544516, 100548559, 100546814, 100539955, 100550632, 100550511, 100540715, 100538864, 100551273, 100547453, 100541475, 100540388, 100541358, 100548306, 100540944, 100540825, 100551038, 100545718, 104910924, 100539840, 100550980, 100538992, 100548098, 723981, 100546594, 723983, 100550609, 100540377, 100546479, 100540014, 100550737, 100544615, 100547569, 100543648, 100538722, 104909279, 100548080, 100548081, 100546342, 104912682, 100546340, 100543073, 100545255, 100547319, 100542541, 100549615, 100550604, 100547679, 104915954, 104913416, 100548528, 109370376, 100543638, 100550287, 100551132, 100538709, 100539918, 100538828, 100548197, 100548070, 104915862, 100549844, 104917002, 104915861, 100548630, 100540232, 100546337, 100548635, 100541568, 109365384, 100543506, 100547531, 100379156, 100303685, 104915859, 100543850, 100546204, 100550823, 100538392, 100548869, 100544708, 100538831, 100539128, 100540903	715	1392	5401	1.2209880636604775	0.028568440385939975	0.003043001050245914	0.0027646777834551294
KEGG_PATHWAY	mgp04110:Cell cycle	36	2.021336327905671	1.8554884452718989E-4	100542909, 100548393, 100547861, 100546593, 100544772, 100547780, 100548112, 104915927, 100543246, 104913249, 100548933, 100543305, 100539515, 100543704, 100539777, 100549908, 100538715, 100551390, 100539967, 100549676, 100548364, 100546641, 100544287, 100542044, 100546229, 100545315, 100543633, 104916907, 100544202, 100547931, 100545439, 100540523, 100543778, 100541813, 100539569, 100538952	715	144	5401	1.8884615384615386	0.029974417361494976	0.003043001050245914	0.0027646777834551294
